,0,1,2,3
0,8.4,48.20001528,121.56368,Continental
1,17.0,50.43336733,44.51355139,Subtropical
2,28.4,40.18115074,16.36663896,Tropical
3,26.0,45.4166968,174.7832659,Tropical
4,10.8,25.03752,15.99999467,Continental
5,12.4,-1.283346742,30.51662797,Tropical
6,17.8,33.500034,44.51355139,Subtropical
7,26.0,25.03752,30.51662797,Tropical
8,17.0,33.500034,44.51355139,Tropical
9,28.4,25.03752,121.56368,Continental
10,10.4,45.4166968,125.7546907,Tropical
11,28.4,14.60415895,46.77274166,Tropical
12,17.0,50.43336733,174.7832659,Continental
